,data,labels,group,generalisation
74,please get me my wheelchair,ood,validation,near-OOD
75,what's the best dog food to feed my puppy,ood,validation,near-OOD
76,how do you know when your dog is ill,ood,validation,near-OOD
77,what dog breed sold the most in 2018,ood,validation,near-OOD
78,how much food should i feed my cat,ood,validation,near-OOD
79,what does it mean if i dream of falling off a building,ood,validation,near-OOD
80,is it bad to not remember your dreams,ood,validation,near-OOD
81,why do we dream,ood,validation,near-OOD
82,"do ducks eat meat, vegetables, or both",ood,validation,near-OOD
83,what is the friendliest breed,ood,validation,near-OOD
84,what do geese eat,ood,validation,near-OOD
85,do ducks sleep,ood,validation,near-OOD
86,are over the ear headphones better than in ear headphones,ood,validation,near-OOD
87,what brand of earphones is the best reviewed of 2019,ood,validation,near-OOD
88,are white and brown eggs any different,ood,validation,near-OOD
89,where do eggs come from,ood,validation,near-OOD
90,how can i easily replace a string on my guitar,ood,validation,near-OOD
91,how do you learn how to play electric violin,ood,validation,near-OOD
92,can you give me the standard tuning notes,ood,validation,near-OOD
93,what is the cheapest electric guitar,ood,validation,near-OOD
94,you want to know about current time now,ood,validation,near-OOD
95,what does it mean to have equality,ood,validation,near-OOD
96,what site publishes the most fake news,ood,validation,near-OOD
97,can you tell me some fake news,ood,validation,near-OOD
98,is cnn really fake news,ood,validation,near-OOD
99,why is there fake news,ood,validation,near-OOD
100,"in spanish, meet me tomorrow is said how",translate,validation,ID
101,"in french, how do i say, see you later",translate,validation,ID
102,how do you say hello in japanese,translate,validation,ID
103,how do i ask about the weather in chinese,translate,validation,ID
104,"how can i say ""cancel my order"" in french",translate,validation,ID
105,how do i say dinner in spanish,translate,validation,ID
106,how do you say good bye in french,translate,validation,ID
107,how do i say thank you in spanish,translate,validation,ID
108,how do i say good bye in chinese,translate,validation,ID
109,how can i say thank you very much in chinese,translate,validation,ID
110,i need to know how to say hello in france,translate,validation,ID
111,would you tell me how to say goodbye in france,translate,validation,ID
112,how do you say hello in mexico,translate,validation,ID
113,tell me how to say hello in chile,translate,validation,ID
114,i want to know how to say goodbye in france,translate,validation,ID
115,"would you translate a sentence into russian for me, please",translate,validation,ID
116,would you translate a phrase into mandarin for me,translate,validation,ID
117,"can you translate this name into spanish for me, please",translate,validation,ID
118,"could you translate this into chinese for me, please",translate,validation,ID
119,could you translate water into dutch for me,translate,validation,ID
120,transfer ten dollars from my wells fargo account to my bank of america account,transfer,validation,ID
121,take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,transfer,validation,ID
122,put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account,transfer,validation,ID
123,move two hundred dollars to my chase savings account to my wells fargo checking account,transfer,validation,ID
124,move three hundred and fifty dollars from my citibank savings account to my chase savings account,transfer,validation,ID
125,move a dollar from my checkings to my savings,transfer,validation,ID
126,move my money to the other account,transfer,validation,ID
127,transfer funds to the other account,transfer,validation,ID
128,please transfer half of my funds to an alternate account,transfer,validation,ID
129,can you move my money to my savings,transfer,validation,ID
130,make an eft to my savings from my checking account,transfer,validation,ID
131,send 100 dollars from my vanguard money market to my wells fargo savings,transfer,validation,ID
132,i need 200 dollars transferred from my long island savings account to my chase checking,transfer,validation,ID
133,send from my bbc money market to my t rowe price money market seven thousand dollars,transfer,validation,ID
134,i need 2000 to go to my chase checking from my mellon bank savings account,transfer,validation,ID
135,move 100 dollars from my savings to my checking,transfer,validation,ID
136,transfer 1000 dollars from my first national bank to my bethpage federal credit union savings,transfer,validation,ID
137,take out of my checking 400 dollars and put it into my emergency savings account,transfer,validation,ID
138,i need to transfer one thousand dollars to my savings account from my checking,transfer,validation,ID
139,transfer 50 dollars from my checking account to my money market account,transfer,validation,ID
140,create a new timer,timer,validation,ID
141,i'd like to set a new timer,timer,validation,ID
142,help me set a timer please,timer,validation,ID
143,10 minutes is what the timer should be set at,timer,validation,ID
144,the timer should have 10 minutes set to it,timer,validation,ID
145,10 minutes is the setting for the timer,timer,validation,ID
146,the timer is calculated for 10 minutes,timer,validation,ID
147,set the timer for 10 minutes,timer,validation,ID
148,can you set a 30 second timer,timer,validation,ID
149,please set a timer to go off in 45 minutes,timer,validation,ID
150,i need you to create a timer,timer,validation,ID
151,i need a timer set please,timer,validation,ID
152,create a timer that is set to go off after 25 mins,timer,validation,ID
153,i need a timer that is set at 1 hour exactly,timer,validation,ID
154,could you set up a timer for me,timer,validation,ID
155,will you start a timer for me,timer,validation,ID
156,set up a 52 minute timer,timer,validation,ID
157,please set up a timer for me,timer,validation,ID
158,set 60 minutes for oven please,timer,validation,ID
159,please make the timer for cooking for for 2 hours,timer,validation,ID
160,may i please have a definition for the work churlish,definition,validation,ID
161,i want to know what trenchant means,definition,validation,ID
162,what is the meaning of fascism,definition,validation,ID
163,can you tell me what a septuagenarian is,definition,validation,ID
164,can you define the word schadenfreude,definition,validation,ID
165,what does unsavory mean,definition,validation,ID
166,please define erection for me,definition,validation,ID
167,what does idiosyncratic mean,definition,validation,ID
168,tell me the meaning of condemnation,definition,validation,ID
169,define monetary for me please,definition,validation,ID
170,tell me the meaning of hegemony,definition,validation,ID
171,what does indignation mean,definition,validation,ID
172,define ambivalence for me please,definition,validation,ID
173,please define institutional racism,definition,validation,ID
174,define antagonist for me please,definition,validation,ID
175,what does distinguish mean,definition,validation,ID
176,what is the meaning of word alliance,definition,validation,ID
177,i need to know what dominate means,definition,validation,ID
178,what is the definition of the word migrate,definition,validation,ID
179,tell me please what paean means,definition,validation,ID
180,i want to know what the purpose of life is,meaning_of_life,validation,ID
181,i want to hear what you think life's purpose is about,meaning_of_life,validation,ID
182,what do you think the purpose of life is,meaning_of_life,validation,ID
183,what is the purpose of existence,meaning_of_life,validation,ID
184,what do you think our purpose is in life,meaning_of_life,validation,ID
185,i'd like to know the meaning of life,meaning_of_life,validation,ID
186,what's your opinion on the meaning of life,meaning_of_life,validation,ID
187,what is life's purpose,meaning_of_life,validation,ID
188,tell me all about the meaning of life,meaning_of_life,validation,ID
189,tell me your thoughts about the meaning of life,meaning_of_life,validation,ID
190,do you have any ideas on the meaning of life,meaning_of_life,validation,ID
191,do you know the deeper meaning of life,meaning_of_life,validation,ID
192,tell me the meaning of life,meaning_of_life,validation,ID
193,"can you tell me, what is the meaning of life",meaning_of_life,validation,ID
194,"what is the meaning behind life, do you think",meaning_of_life,validation,ID
195,what is our purpose,meaning_of_life,validation,ID
196,what do you think we are on earth for,meaning_of_life,validation,ID
197,what do you think life is really about,meaning_of_life,validation,ID
198,do you think we have a higher calling,meaning_of_life,validation,ID
199,why are humans on earth,meaning_of_life,validation,ID
200,explain how do i get new insurance,insurance_change,validation,ID
201,tell me how to get new insurance,insurance_change,validation,ID
202,explain to me how do i get new insurance,insurance_change,validation,ID
203,i want to get new insurance,insurance_change,validation,ID
204,can you tell me how do i get new insurance,insurance_change,validation,ID
205,i'd like to know how changes are made to my insurance policy,insurance_change,validation,ID
206,how can i make changes for my insurance policy,insurance_change,validation,ID
207,can you tell me how changes on my insurance policy can be made,insurance_change,validation,ID
208,i'd like to know how to make changes for my insurance policy,insurance_change,validation,ID
209,could you tell me how to make changes to my insurance policy,insurance_change,validation,ID
210,tell me how to change my policy,insurance_change,validation,ID
211,i need to switch insurance plans,insurance_change,validation,ID
212,can you help me switch insurance plans,insurance_change,validation,ID
213,tell me how to make changes to my insurance policy,insurance_change,validation,ID
214,how do i switch to a new insurance plan,insurance_change,validation,ID
215,can you help me switch to a new insurance plan,insurance_change,validation,ID
216,how can i change information on my insurance policy,insurance_change,validation,ID
217,how do i make changes to my insurance policy,insurance_change,validation,ID
218,tell me how to change my insurance policy,insurance_change,validation,ID
219,"i need to change my insurance policy, how",insurance_change,validation,ID
220,please help me in finding my phone,find_phone,validation,ID
221,please help me find my lost phone,find_phone,validation,ID
222,i need your help finding my lost phone,find_phone,validation,ID
223,help me find my phone please,find_phone,validation,ID
224,tell me where i left my phone,find_phone,validation,ID
225,what did i do with my phone,find_phone,validation,ID
226,can you tell me where my phone is,find_phone,validation,ID
227,what happened to my cellphone,find_phone,validation,ID
228,do you remember where i left my cellphone,find_phone,validation,ID
229,where is my cellphone,find_phone,validation,ID
230,do you know where my cellphone is,find_phone,validation,ID
231,i have lost my phone,find_phone,validation,ID
232,"help me, i don't know where my phone is",find_phone,validation,ID
233,tell me my phone's location,find_phone,validation,ID
234,where would my phone be,find_phone,validation,ID
235,i need to know my phone's location,find_phone,validation,ID
236,help locate my phone,find_phone,validation,ID
237,can you find me my phone,find_phone,validation,ID
238,track down my phone for me,find_phone,validation,ID
239,my phone is lost and i need help finding it,find_phone,validation,ID
240,is traveling to france safe,travel_alert,validation,ID
241,is france safe to travel to,travel_alert,validation,ID
242,i need to know is traveling to france safe,travel_alert,validation,ID
243,can i travel to france as far as safety goes,travel_alert,validation,ID
244,can i safely travel to france or is it dangerous,travel_alert,validation,ID
245,are there any current travel alerts for brazil,travel_alert,validation,ID
246,are there any travel alerts for seattle,travel_alert,validation,ID
247,how safe is it to travel to guatemala right now and are there any alerts,travel_alert,validation,ID
248,are there any travel alerts for juarez,travel_alert,validation,ID
249,what's the danger level of flying to russia right now,travel_alert,validation,ID
250,are there any travel alerts for antarctica,travel_alert,validation,ID
251,are there any travel alerts for mountain view,travel_alert,validation,ID
252,does mexico have any travel alerts i should know about,travel_alert,validation,ID
253,does greece currently have any travel alerts in place,travel_alert,validation,ID
254,are there any travel alerts for brazil,travel_alert,validation,ID
255,how safe is it to visit spain,travel_alert,validation,ID
256,how safe is visiting canada this week,travel_alert,validation,ID
257,have the riots in france triggered any alerts for people traveling to there,travel_alert,validation,ID
258,is there any danger going to brazil,travel_alert,validation,ID
259,is it safe to travel to mexico,travel_alert,validation,ID
260,please request pto for march 2 and 3,pto_request,validation,ID
261,i am requesting pto for march 2 and 3,pto_request,validation,ID
262,can you please request pto for march 2 and 3,pto_request,validation,ID
263,i would like to request pto for march 2 and 3,pto_request,validation,ID
264,i need to request pto for march 2 and 3,pto_request,validation,ID
265,let me know how to make a vacation request,pto_request,validation,ID
266,i need to make a vacation request; how,pto_request,validation,ID
267,can i put in a pto request for may 1 to may 5,pto_request,validation,ID
268,tell me how to make a vacation request,pto_request,validation,ID
269,i would like to know if i can put a pto request in for march 19 to march 20,pto_request,validation,ID
270,am i able to put in a pto request for may 6 to may 18,pto_request,validation,ID
271,provide assistance on what to do to make a vacation request,pto_request,validation,ID
272,i need to know how to make a vacation request,pto_request,validation,ID
273,i need to know if i can put a pto request in for march 10 to march 12,pto_request,validation,ID
274,tell me whether i can put a pto request in for may 10 to may 15,pto_request,validation,ID
275,what is the process for making a vacation request,pto_request,validation,ID
276,what's the method for requesting a vacation,pto_request,validation,ID
277,what are the steps required for making a vacation request,pto_request,validation,ID
278,please help me make a request for vacation,pto_request,validation,ID
279,i have a vacation request that i need made,pto_request,validation,ID
280,what are some ways to raise my credit score,improve_credit_score,validation,ID
281,what will help my credit score,improve_credit_score,validation,ID
282,are there any videos on how to repair my credit score,improve_credit_score,validation,ID
283,what can i do to get a better credit score,improve_credit_score,validation,ID
284,will getting a credit card help my credit score,improve_credit_score,validation,ID
285,what are the top 10 ways to build my credit score,improve_credit_score,validation,ID
286,how can i build up my credit score,improve_credit_score,validation,ID
287,how can i build my credit score,improve_credit_score,validation,ID
288,what are some easy ways to make my credit score better,improve_credit_score,validation,ID
289,how do i prevent my credit score from dropping,improve_credit_score,validation,ID
290,how should i go about improving my credit score,improve_credit_score,validation,ID
291,how can i make sure that my credit score does not decrease,improve_credit_score,validation,ID
292,what is the best way to insure that my credit score doesn't decrease,improve_credit_score,validation,ID
293,what things can i do to increase my credit score,improve_credit_score,validation,ID
294,what is the best way to keep my credit score from going down,improve_credit_score,validation,ID
295,what is the best thing for me to do to improve my credit score quickly,improve_credit_score,validation,ID
296,how can i safeguard my credit score from dropping,improve_credit_score,validation,ID
297,do i have options on how to improve my credit score,improve_credit_score,validation,ID
298,what steps can i take to improve my credit score,improve_credit_score,validation,ID
299,show me a plan to help my credit score rating,improve_credit_score,validation,ID
300,tell me something interesting about lake tahoe,fun_fact,validation,ID
301,tell me a cool fact about reno,fun_fact,validation,ID
302,tell me something interesting about new york state,fun_fact,validation,ID
303,give me a cool fact about new orleans,fun_fact,validation,ID
304,give me a cool fact about seattle,fun_fact,validation,ID
305,tell me something interesting about elephants,fun_fact,validation,ID
306,tell me something interesting about dogs,fun_fact,validation,ID
307,give me a cool fact about potatoes,fun_fact,validation,ID
308,give me a cool fact about puppies,fun_fact,validation,ID
309,give me a cool fact about lsd,fun_fact,validation,ID
310,tell me a fun fact about the moon landing,fun_fact,validation,ID
311,what's a fun fact about axolotls,fun_fact,validation,ID
312,tell me a fact about the maned wolf,fun_fact,validation,ID
313,give me harry potter trivia,fun_fact,validation,ID
314,tell me an axolotl fact,fun_fact,validation,ID
315,i need a spider fact,fun_fact,validation,ID
316,show me trivia about cats,fun_fact,validation,ID
317,read me some different cat trivia items,fun_fact,validation,ID
318,find me cat trivia now please,fun_fact,validation,ID
319,read me cat trivia,fun_fact,validation,ID
320,i need new language,change_language,validation,ID
321,switch language for me,change_language,validation,ID
322,please change your language setting to russian,change_language,validation,ID
323,you must change your language setting to russian,change_language,validation,ID
324,you need to change your language setting to russian please,change_language,validation,ID
325,change language please,change_language,validation,ID
326,please change your language setting to spanish now,change_language,validation,ID
327,change your language setting to spanish,change_language,validation,ID
328,i want new language,change_language,validation,ID
329,please change the language,change_language,validation,ID
330,speak arabic,change_language,validation,ID
331,speak navajo,change_language,validation,ID
332,speak german,change_language,validation,ID
333,speak french,change_language,validation,ID
334,speak mandarin,change_language,validation,ID
335,change response language from mandarin to english,change_language,validation,ID
336,please respond to me in english from now on,change_language,validation,ID
337,please change your response language to english,change_language,validation,ID
338,how can i change your response language,change_language,validation,ID
339,change the language to english,change_language,validation,ID
340,when's the next time i get paid,payday,validation,ID
341,when's my next paycheck coming in,payday,validation,ID
342,what's the date of my next paycheck,payday,validation,ID
343,when do i get my paycheck,payday,validation,ID
344,which day is pay day,payday,validation,ID
345,which day is it that my payment comes in,payday,validation,ID
346,when am i paid or how often,payday,validation,ID
347,how many days until i get my payment,payday,validation,ID
348,what was the last check date,payday,validation,ID
349,when was i paid most recently,payday,validation,ID
350,what was the date of my last paycheck,payday,validation,ID
351,when did i get my check last,payday,validation,ID
352,how long has it been since i was paid,payday,validation,ID
353,how many times do i get paid in march,payday,validation,ID
354,what date is the next payday,payday,validation,ID
355,i am trying to find out when is the next payday,payday,validation,ID
356,what date is the next day i get paid,payday,validation,ID
357,when is the next payday,payday,validation,ID
358,what is my pay,payday,validation,ID
359,how much is on my paycheck this week,payday,validation,ID
360,what's the time of arrival on my new credit card,replacement_card_duration,validation,ID
361,tell me the duration it takes to get a new cc,replacement_card_duration,validation,ID
362,is it a short time before i receive my new credit card,replacement_card_duration,validation,ID
363,how long before my updated cc takes to arrive,replacement_card_duration,validation,ID
364,how long does it take a new card to arrive in the mail to me,replacement_card_duration,validation,ID
365,what is the length of time it takes a new card to get mailed to me,replacement_card_duration,validation,ID
366,about how long does it usually take a new card to get mailed to me,replacement_card_duration,validation,ID
367,how much time does it take a new card to get mailed to me,replacement_card_duration,validation,ID
368,how soon does it take a card new card to get mailed to me,replacement_card_duration,validation,ID
369,"after losing a credit card, how long does it take to get a new one",replacement_card_duration,validation,ID
370,"if i lose my credit card, will i get a replacement immediately",replacement_card_duration,validation,ID
371,what is the time frame for receiving a new credit card if my original one gets lost,replacement_card_duration,validation,ID
372,will i have to wait a long time to receive my new credit card after i lost my old one,replacement_card_duration,validation,ID
373,how long should i expect to wait for my replacement credit card,replacement_card_duration,validation,ID
374,will my new credit card be here this week,replacement_card_duration,validation,ID
375,how long does it usually take for a new credit card to come,replacement_card_duration,validation,ID
376,what is the eta on getting a replacement card,replacement_card_duration,validation,ID
377,show tracking information on my replacement credit card,replacement_card_duration,validation,ID
378,when will i get my replacement card,replacement_card_duration,validation,ID
379,will it take more than a month to get a new card,replacement_card_duration,validation,ID
380,what time is it in france,time,validation,ID
381,what's the time in london right now,time,validation,ID
382,what hour is it in london,time,validation,ID
383,what's the time,time,validation,ID
384,what is the time in london,time,validation,ID
385,i need to know what time it is,time,validation,ID
386,what time of day is it in london,time,validation,ID
387,tell me what time it is,time,validation,ID
388,what time of day is it,time,validation,ID
389,what time is it in the pacific timezone,time,validation,ID
390,what time is it in pacific standard time,time,validation,ID
391,what time is it over in pacific time,time,validation,ID
392,what time is in over there in pacific standard time,time,validation,ID
393,what time is it in the pacific standard time,time,validation,ID
394,what is the time in paris now,time,validation,ID
395,time in manhattan,time,validation,ID
396,how late is it now in ourense,time,validation,ID
397,what is the current time right now in hollywood,time,validation,ID
398,what time is it now in michigan,time,validation,ID
399,what's the clock say,time,validation,ID
400,what is the present status of my credit card application,application_status,validation,ID
401,what is the current status of my credit card application,application_status,validation,ID
402,in what status is my credit card application currently in,application_status,validation,ID
403,how far along is my credit card application,application_status,validation,ID
404,what is the status of my credit card application looking like,application_status,validation,ID
405,pull up my credit card application's current status,application_status,validation,ID
406,has my credit card application processed yet,application_status,validation,ID
407,check the status of my credit card application please,application_status,validation,ID
408,has my card application successfully gone through,application_status,validation,ID
409,go to the credit card site and check if my application has gone through,application_status,validation,ID
410,has my credit card application been approved yet,application_status,validation,ID
411,can you check on the status of my credit card application,application_status,validation,ID
412,i would like to know if my visa card application has been approved,application_status,validation,ID
413,can you let me know if my visa card has been approved,application_status,validation,ID
414,at what point will the review of my credit card application be completed,application_status,validation,ID
415,can you check if my mastercard application has been reviewed yet,application_status,validation,ID
416,has my visa card application been approved yet,application_status,validation,ID
417,please let me know how my credit card application is going,application_status,validation,ID
418,when will my credit card application be reviewed,application_status,validation,ID
419,please let me know if my discover card application has been approved,application_status,validation,ID
420,when is my flight going to board,flight_status,validation,ID
421,when am i boarding my flight,flight_status,validation,ID
422,at what time should i be boarding my flight,flight_status,validation,ID
423,can you please update the status of flight dl123,flight_status,validation,ID
424,when is the expected arrival of flight dl123,flight_status,validation,ID
425,is flight dl123 due to land as schedule,flight_status,validation,ID
426,will flight dl123 be on time,flight_status,validation,ID
427,are there any expected delays for flight dl123,flight_status,validation,ID
428,i would like to know flight dl123's status,flight_status,validation,ID
429,tell me flight dl123's statud,flight_status,validation,ID
430,for flight dl123 what's the status,flight_status,validation,ID
431,could you tell me the status of flight dl123,flight_status,validation,ID
432,when is my flight expected to arrive,flight_status,validation,ID
433,at what time is my flight scheduled to land,flight_status,validation,ID
434,what time is my flight going to land,flight_status,validation,ID
435,ostensibly when is my flight going to land,flight_status,validation,ID
436,when is my flight going to arrive,flight_status,validation,ID
437,what time does my flight board,flight_status,validation,ID
438,what is the boarding time for my upcoming flight,flight_status,validation,ID
439,when is my flight boarding,flight_status,validation,ID
440,flip a normal coin,flip_coin,validation,ID
441,flip a heads or tails coin i pick heads,flip_coin,validation,ID
442,"flip a coin, i choose heads",flip_coin,validation,ID
443,please flip a coin - i call heads,flip_coin,validation,ID
444,can you flip a coin i pick heads,flip_coin,validation,ID
445,please flip coin ai,flip_coin,validation,ID
446,flip a coin now,flip_coin,validation,ID
447,please flip a coin,flip_coin,validation,ID
448,i need you to flip a coin,flip_coin,validation,ID
449,flip coin ai,flip_coin,validation,ID
450,please go ahead and flip a coin,flip_coin,validation,ID
451,flip the coin ai,flip_coin,validation,ID
452,please flip coin,flip_coin,validation,ID
453,i wanna flip a coin,flip_coin,validation,ID
454,please flip the coin,flip_coin,validation,ID
455,please flip the coin over ai,flip_coin,validation,ID
456,i'm wanting you to flip a coin,flip_coin,validation,ID
457,flip me a coin,flip_coin,validation,ID
458,i want you to flip a coin now,flip_coin,validation,ID
459,i call tails and you call heads on this coin flip i need you to do,flip_coin,validation,ID
460,will you start calling me chaz,change_user_name,validation,ID
461,stop calling me charlie and from now on always call me chip,change_user_name,validation,ID
462,"from now on, refer to me as chuck",change_user_name,validation,ID
463,please call me charlile from here on out ok,change_user_name,validation,ID
464,i want you to call me a different name so can you call me charchar,change_user_name,validation,ID
465,please change my name to tom,change_user_name,validation,ID
466,"from now on, my name is tom",change_user_name,validation,ID
467,i want to be called tom,change_user_name,validation,ID
468,please call me tom,change_user_name,validation,ID
469,you can call me jason,change_user_name,validation,ID
470,my name is jason,change_user_name,validation,ID
471,jason is my name,change_user_name,validation,ID
472,i prefer to be called jason,change_user_name,validation,ID
473,i am jason,change_user_name,validation,ID
474,you shall address me as nick,change_user_name,validation,ID
475,my name is nick,change_user_name,validation,ID
476,refer to me as nick,change_user_name,validation,ID
477,the name is nick,change_user_name,validation,ID
478,you could say my name is nick,change_user_name,validation,ID
479,i am camile,change_user_name,validation,ID
480,what place were you born at,where_are_you_from,validation,ID
481,where were you born as a kid,where_are_you_from,validation,ID
482,tell me where you were created,where_are_you_from,validation,ID
483,what place were you made at,where_are_you_from,validation,ID
484,what place were you actually born at,where_are_you_from,validation,ID
485,what place do you come from,where_are_you_from,validation,ID
486,where do you hale from,where_are_you_from,validation,ID
487,what place were you born,where_are_you_from,validation,ID
488,where are you from before you got here,where_are_you_from,validation,ID
489,let me know when you were made,where_are_you_from,validation,ID
490,where you from,where_are_you_from,validation,ID
491,where are you from if i may ask,where_are_you_from,validation,ID
492,where are you from oroginally,where_are_you_from,validation,ID
493,where are you originally from before coming here,where_are_you_from,validation,ID
494,what's your home town,where_are_you_from,validation,ID
495,what country are you from,where_are_you_from,validation,ID
496,are you from here,where_are_you_from,validation,ID
497,were you made here,where_are_you_from,validation,ID
498,where did you come from,where_are_you_from,validation,ID
499,you were made where,where_are_you_from,validation,ID
500,"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there",shopping_list_update,validation,ID
501,is it possible to add grapes to my shopping list if they aren't on there already,shopping_list_update,validation,ID
502,please add bananas to my shopping list unless i already did,shopping_list_update,validation,ID
503,can you add apples to my shopping list if they aren't already on there,shopping_list_update,validation,ID
504,would you be willing to add bread to my shopping list if i haven't already,shopping_list_update,validation,ID
505,"i'm out of cleaning supplies, remind me on my list",shopping_list_update,validation,ID
506,"i don't have any more steak, please put that on my grocery list",shopping_list_update,validation,ID
507,"i'm out of apples, add that to my list",shopping_list_update,validation,ID
508,"i have no oranges, put them onto my list",shopping_list_update,validation,ID
509,do i have peanuts on my shopping list if not please add it,shopping_list_update,validation,ID
510,do i have soda on my shopping list if not please add it,shopping_list_update,validation,ID
511,i'm out of kleenex so will you put that on my shopping list,shopping_list_update,validation,ID
512,i'm out of paper towels so will you put that on my shopping list,shopping_list_update,validation,ID
513,i'm out of toilet paper so will you put that on my shopping list,shopping_list_update,validation,ID
514,do i have graham crackers on my shopping list if not please add it,shopping_list_update,validation,ID
515,i'm out of clorox wipes so will you put that on my shopping list,shopping_list_update,validation,ID
516,do i have tortillas on my shopping list if not please add it,shopping_list_update,validation,ID
517,i'm out of laundry detergent so will you put that on my shopping list,shopping_list_update,validation,ID
518,do i have cheese on my shopping list if not please add it,shopping_list_update,validation,ID
519,i'd like you to add oranges to my shopping list,shopping_list_update,validation,ID
520,what categories of questions can you answer,what_can_i_ask_you,validation,ID
521,what kind of questions can i ask the ai,what_can_i_ask_you,validation,ID
522,can you tell me what i can ask the ai,what_can_i_ask_you,validation,ID
523,what types of things can i ask the ai,what_can_i_ask_you,validation,ID
524,what kind of things can i ask the ai,what_can_i_ask_you,validation,ID
525,what can i ask the ai,what_can_i_ask_you,validation,ID
526,what questions can you answer,what_can_i_ask_you,validation,ID
527,what am i allowed to ask you,what_can_i_ask_you,validation,ID
528,what all can i ask you,what_can_i_ask_you,validation,ID
529,what are you capable of doing and answering,what_can_i_ask_you,validation,ID
530,what are you capable of answering,what_can_i_ask_you,validation,ID
531,what kinds of subjects do you know about,what_can_i_ask_you,validation,ID
532,what are the different subjects that you know,what_can_i_ask_you,validation,ID
533,which kinds of info are you familiar with,what_can_i_ask_you,validation,ID
534,what kind of information do you know,what_can_i_ask_you,validation,ID
535,which subjects can you tell me about,what_can_i_ask_you,validation,ID
